,city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
141,6088469,nipawin,CA,53.37,-104.0,1590173697,71.6,26,1,23.04
142,1244926,hambantota,LK,6.12,81.12,1590173698,78.8,100,40,5.82
143,3348078,kuito,AO,-12.38,16.93,1590173698,59.41,48,0,3.58
144,2063036,port lincoln,AU,-34.73,135.87,1590173698,55.11,77,38,13.51
145,6324729,halifax,CA,44.65,-63.57,1590173593,80.6,24,75,18.34
146,3372964,lagoa,PT,39.05,-27.98,1590173698,58.68,77,100,9.91
147,200575,baringo,KE,0.47,35.97,1590173698,72.14,74,69,2.48
148,3583446,san miguel,SV,13.48,-88.18,1590173443,89.6,62,40,3.36
149,490750,soltsy,RU,58.12,30.32,1590173698,38.68,83,99,3.85
150,2186111,ngunguru,NZ,-35.62,174.5,1590173698,47.79,92,100,8.99
151,3939168,huarmey,PE,-10.07,-78.15,1590173524,71.42,65,1,10.02
152,1729564,bacolod,PH,10.67,122.95,1590173698,80.53,80,91,4.5
153,2112309,katsuura,JP,35.13,140.3,1590173699,59.99,93,75,12.75
154,2194098,ahipara,NZ,-35.17,173.17,1590173699,51.53,76,100,5.01
155,3831208,qaanaaq,GL,77.48,-69.36,1590173699,34.32,84,0,3.04
156,2092164,lorengau,PG,-2.02,147.27,1590173532,81.82,76,31,2.75
157,5710035,west wendover,US,40.74,-114.07,1590173699,62.6,36,1,8.05
158,3358666,aranos,NA,-24.13,19.12,1590173699,61.36,32,0,9.82
159,4031637,lavrentiya,RU,65.58,-171.0,1590173699,34.57,93,100,5.5
160,766301,limanowa,PL,49.71,20.42,1590173699,52.7,30,99,1.99
161,3471451,arraial do cabo,BR,-22.97,-42.03,1590173516,80.6,65,32,10.29
162,1537939,stepnogorsk,KZ,52.35,71.89,1590173699,54.68,86,100,7.83
163,533933,lovozero,RU,68.0,35.01,1590173700,34.0,90,0,4.65
164,1735799,sri aman,MY,1.24,111.46,1590173700,78.4,100,100,1.83
165,2138522,poya,NC,-21.35,165.15,1590173700,66.88,77,100,6.44
166,1254046,tura,IN,25.52,90.22,1590173700,71.92,98,90,2.51
167,945945,upington,ZA,-28.45,21.26,1590173700,68.0,28,0,1.12
168,2065594,mount isa,AU,-20.73,139.5,1590173700,46.4,70,71,8.05
169,3414079,olafsvik,IS,64.89,-23.71,1590173700,49.19,64,100,16.04
170,2178753,kirakira,SB,-10.45,161.92,1590173700,79.66,85,17,10.07
171,3450083,santa maria,BR,-29.68,-53.81,1590173700,64.4,100,75,2.24
172,2729907,longyearbyen,SJ,78.22,15.64,1590173700,33.8,69,20,2.24
173,1180729,dalbandin,PK,28.89,64.41,1590173700,84.0,15,0,5.66
174,3985168,san patricio,MX,19.22,-104.7,1590173700,82.4,74,5,5.82
175,582447,almaznyy,RU,48.04,40.05,1590173701,55.4,58,99,4.47
176,1006984,east london,ZA,-33.02,27.91,1590173701,68.63,86,15,12.97
177,2112444,kamaishi,JP,39.27,141.88,1590173701,55.4,89,100,5.55
178,3870282,talcahuano,CL,-36.72,-73.12,1590173494,60.8,36,99,10.29
179,2208248,kaitangata,NZ,-46.28,169.85,1590173519,46.99,75,4,1.99
180,2455558,kati,ML,12.74,-8.07,1590173701,102.2,16,20,6.93
181,1337607,kudahuvadhoo,MV,2.67,72.89,1590173701,84.51,77,100,16.67
182,2647984,great yarmouth,GB,52.61,1.73,1590173701,63.32,34,99,19.46
183,1214488,meulaboh,ID,4.14,96.13,1590173539,75.47,95,100,5.66
184,2123814,leningradskiy,RU,69.38,178.42,1590173514,28.18,95,8,2.24
185,2012530,zhigansk,RU,66.77,123.37,1590173701,35.55,85,88,13.13
186,2126199,cherskiy,RU,68.75,161.3,1590173701,29.05,94,100,16.06
187,1506268,gornopravdinsk,RU,60.05,69.9,1590173701,49.91,88,12,4.9
188,2155415,new norfolk,AU,-42.78,147.06,1590173702,36.59,90,2,2.66
189,2012956,yerbogachen,RU,61.28,108.01,1590173702,53.67,49,45,3.11
190,3902685,eucaliptus,BO,-17.58,-67.52,1590173702,57.88,29,100,10.27
191,2746132,tubbergen,NL,52.4,6.77,1590173702,64.98,66,100,5.01
192,2989877,noyon,FR,49.58,3.0,1590173702,60.8,72,100,8.05
193,3832899,viedma,AR,-40.81,-63.0,1590173702,58.89,35,0,9.4
194,2180815,tuatapere,NZ,-46.13,167.68,1590173702,43.12,85,0,4.83
195,3473218,acajutiba,BR,-11.66,-38.02,1590173702,78.44,84,0,8.75
196,5882953,aklavik,CA,68.22,-135.01,1590173629,53.6,32,5,5.82
197,2231506,foumban,CM,5.73,10.9,1590173702,67.6,94,5,2.17
198,2013279,vostok,RU,46.49,135.88,1590173525,39.02,77,60,3.65
199,1696188,palauig,PH,15.44,119.9,1590173702,83.59,76,100,6.08
200,2022773,khandyga,RU,62.67,135.6,1590173702,43.38,70,97,6.53
201,2028164,deputatskiy,RU,69.3,139.9,1590173703,20.98,98,97,1.12
202,2347954,bama,NG,11.52,13.69,1590173703,96.1,29,100,0.89
203,546105,nikolskoye,RU,59.7,30.79,1590173703,49.77,32,2,2.24
204,5354943,half moon bay,US,37.46,-122.43,1590173703,63.63,51,40,9.17
205,2156643,mount gambier,AU,-37.83,140.77,1590173536,51.8,100,90,12.75
206,6145890,shelburne,CA,44.08,-80.2,1590173703,78.57,31,1,11.41
207,1633419,padang,ID,-0.95,100.35,1590173539,79.5,69,71,2.98
208,2377457,nouadhibou,MR,20.93,-17.03,1590173703,69.8,73,0,21.92
209,5391959,san francisco,US,37.77,-122.42,1590173165,61.3,51,75,8.05
210,3393692,itarema,BR,-2.92,-39.92,1590173703,81.27,86,100,11.59
211,2169535,dalby,AU,-27.18,151.27,1590173703,45.0,91,100,10.18
212,899825,petauke,ZM,-14.24,31.33,1590173413,61.23,66,0,9.53
213,3466165,cidreira,BR,-30.18,-50.21,1590173527,68.0,93,100,5.7
214,2402715,yonibana,SL,8.44,-12.24,1590173703,79.9,89,14,5.01
215,296895,yerkoy,TR,39.64,34.47,1590173704,48.02,79,100,11.39
216,1272771,dhilwan,IN,31.52,75.35,1590173704,84.2,39,60,2.77
217,3448903,sao joao da barra,BR,-21.64,-41.05,1590173704,80.6,61,0,18.34
218,935221,saint-paul,RE,-21.01,55.27,1590173704,66.16,77,75,14.99
219,1804119,liancheng,CN,24.05,105.08,1590173704,64.15,93,100,2.71
220,487928,novikovo,RU,51.15,37.89,1590173704,45.66,79,100,4.21
221,2260401,djambala,CG,-2.54,14.75,1590173704,72.93,85,94,3.09
222,358620,safaga,EG,26.73,33.94,1590173646,93.2,21,0,17.22
223,2134814,sola,VU,-13.88,167.55,1590173704,78.8,82,97,20.67
224,1516589,zhezkazgan,KZ,47.8,67.71,1590173704,65.25,58,9,5.88
225,2332453,lagos,NG,6.58,3.75,1590173552,82.4,78,20,10.29
226,3352263,warmbad,NA,-28.45,18.73,1590173705,67.86,25,0,5.73
227,2345029,lano,NG,10.17,11.47,1590173705,91.02,41,91,8.84
228,64814,bandarbeyla,SO,9.49,50.81,1590173705,84.9,67,0,22.21
229,1790894,wuxue,CN,29.85,115.55,1590173705,70.43,80,69,1.92
230,515879,oktyabrskiy,RU,54.48,53.47,1590173705,47.52,66,100,0.83
231,2031964,darhan,MN,49.49,105.92,1590173705,49.98,64,14,4.76
232,3466980,caravelas,BR,-17.71,-39.25,1590173705,78.53,74,0,5.82
233,2137773,vao,NC,-22.67,167.48,1590173705,72.03,67,100,13.22
234,1635164,mlonggo,ID,-6.53,110.7,1590173705,79.54,84,65,3.56
235,637292,savonlinna,FI,61.87,28.88,1590173580,53.6,30,0,3.36
236,5557293,sitka,US,57.05,-135.33,1590173530,48.2,76,75,6.93
237,2121373,seymchan,RU,62.88,152.43,1590173705,36.1,79,53,10.11
238,7647007,san carlos de bariloche,AR,-41.15,-71.31,1590173706,46.4,52,2,3.36
239,2456917,goundam,ML,16.41,-3.67,1590173706,97.38,9,0,9.51
240,5924351,clyde river,CA,70.47,-68.59,1590173515,28.4,86,75,8.05
241,695464,romny,UA,50.75,33.47,1590173706,42.46,93,100,11.16
