,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
165,@CBS,@cukecito @desdelamoncloa @UN @ABC @CNN @BBCWorld @thetimes @nytimes @CBS Si estas tan convencido de lo q dices den… https://t.co/0jPAS637zs,Fri May 22 18:22:22 +0000 2020,0.0,0.0,1.0,0.0,166
166,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Looking for the first ever #SGN correspondent? Let me come in an intervi… https://t.co/u4Qtu8hTXS,Fri May 22 18:22:11 +0000 2020,0.0,0.0,1.0,0.0,167
167,@CBS,"@cukecito @desdelamoncloa @UN @ABC @CNN @BBCWorld @thetimes @nytimes @CBS Q si, q eres un pesado además de un ridíc… https://t.co/N8i6FbYrFX",Fri May 22 18:21:16 +0000 2020,0.0,0.0,1.0,0.0,168
168,@CBS,"@TheTalkCBS @CBS Not too much except my brother complained about having to watch a chick flick, but he was 12 and m… https://t.co/B1flNDHFJR",Fri May 22 18:16:37 +0000 2020,-0.2144,0.0,0.922,0.078,169
169,@CBS,@SNLSTT @oufenix @PaulCormack @_Gabbers_ @ryanstruyk @CNN @MSNBC @NBCNews @CBS @ABC Who's telling people to do that… https://t.co/6SEqCqtpYE,Fri May 22 18:14:17 +0000 2020,0.0,0.0,1.0,0.0,170
170,@CBS,"RT @JeremyMJordan: Really, @cbs? You're going to air a Grease sing-a-long in place of the @TheTonyAwards? Whose grandmother's idea was this…",Fri May 22 18:11:38 +0000 2020,0.0,0.0,1.0,0.0,171
171,@CBS,@vonderboch @CBSNews @johnkrasinski @somegoodnews @CBS Really your an ass to think that.,Fri May 22 18:08:30 +0000 2020,-0.5809,0.0,0.745,0.255,172
172,@CBS,Protesters @cbs @NorahODonnell https://t.co/DwiughVMHn,Fri May 22 18:05:10 +0000 2020,-0.2263,0.0,0.612,0.388,173
173,@CBS,@_Gabbers_ @moonbattered @ryanstruyk @CNN @MSNBC @NBCNews @CBS @ABC Conveniently leaving out Fox News because they… https://t.co/QF1MPhkfer,Fri May 22 18:00:39 +0000 2020,0.0,0.0,1.0,0.0,174
174,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Nope.,Fri May 22 17:59:18 +0000 2020,0.0,0.0,1.0,0.0,175
